# FEAT_ID     Score                   Feature Expression
169           0.234894327001105463    ((av_E_def_subsurf / surface_area) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
170           0.235236026634580264    ((av_delta_M1_M2_subsurf / particle_diameter) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
171           0.235300388580048536    ((av_BE_H_subsurf * av_E_def_subsurf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
172           0.235425232433218251    ((av_BE_H_surf * av_E_def_subsurf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
173           0.235967357091410007    ((av_E_def_subsurf * av_PE) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
174           0.236451326103007203    ((av_E_def_subsurf * av_mu_C_critical_subsurf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
175           0.236938734933718725    ((av_B_0 / particle_diameter) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
176           0.237058980702214178    ((av_E_def_subsurf * av_IP) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
177           0.237343891407442664    ((av_delta_M1_M2_subsurf * av_EA) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
178           0.237504118287690691    ((av_E_def_subsurf * av_E_b_C_subsurf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
179           0.237579241961998283    ((av_E_def_subsurf / av_bulk_int_dist) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
180           0.237660038735697049    ((av_delta_M1_M2_subsurf / av_d_band_center_surf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
181           0.238538877568193114    ((av_E_def_subsurf * av_mu_C_critical_surf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
182           0.238639687227460151    (|(av_IP / av_mu_C_critical_surf) - (av_BE_H_subsurf / av_EA)|)
183           0.240146571316694646    (|(ln(1.0*av_EA-8.216725e-01)) - (av_E_b_C_subsurf / av_mu_C_critical_surf)|)
184           0.240465014544468086    ((av_E_def_subsurf * av_E_coh) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
185           0.24094949196038179     ((av_E_def_subsurf * av_B_0) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
186           0.241615690912945075    ((av_EA / particle_diameter) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
187           0.241931040712302203    (|(av_mu_C_critical_surf / av_EA) - (av_IP / av_BE_H_subsurf)|)
188           0.2428840379799177      ((av_delta_M1_M2_subsurf^2) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
189           0.243646725406962472    ((av_E_def_subsurf / total_metal_loading) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
190           0.244734021422840453    ((av_E_def_subsurf^3) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
191           0.244855511589885028    ((av_E_def_subsurf / av_d_band_center_surf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
192           0.247378434724069229    ((av_E_def_subsurf * av_EA) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
193           0.248052194174630647    ((|av_W_change_H - av_E_def_subsurf|) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
194           0.248344270837582426    ((av_delta_M1_M2_subsurf * av_E_def_subsurf) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
195           0.249140326272219464    ((av_E_def_subsurf^2) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
196           0.253471511411156147    ((av_E_def_subsurf^3) / (ln(-1.0*av_E_b_C_subsurf+6.925000e+00)))
197           0.253530266394370707    ((av_delta_M1_M2_subsurf^3) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
198           0.256442693487773488    ((av_delta_M1_M2_subsurf^6) / (ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)))
199           0.257844601968607534    ((av_delta_M1_M2_subsurf^6) / (ln(-1.0*av_E_b_C_subsurf+6.925000e+00)))
#-----------------------------------------------------------------------
200           0.168991040744890103    ((ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)) / (surface_area * time))
201           0.169111805467082904    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (std_dev * time))
202           0.169225678985750694    ((ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)) / (time^3))
203           0.169263643737221608    ((ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)) * (av_PE / time))
204           0.169459361817714926    ((ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)) * (std_dev / time))
205           0.169585661006724592    ((ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)) * (av_B_0 / time))
206           0.169798101483709662    ((ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)) / (total_metal_loading * time))
207           0.169994424889816531    ((ln(1.0*av_BE_H_subsurf+2.140000e+00)) / (time^2))
208           0.170348070031684534    ((ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)) * (av_EA / time))
209           0.170719566167753634    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_EA * time))
210           0.170877131142504413    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (particle_diameter * time))
211           0.171000148318809747    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_B_0 * time))
212           0.171131402689321949    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (total_metal_loading / time))
213           0.171788802815966951    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_PE * time))
214           0.17204519082606004     ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_E_def_subsurf / time))
215           0.172399753789654053    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_IP * time))
216           0.172401995957133208    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_mu_C_critical_surf * time))
217           0.172439461252730408    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_E_coh * time))
218           0.172560985651429494    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (surface_area / time))
219           0.172730167696992121    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_BE_H_subsurf * time))
220           0.173000691879162644    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_bulk_int_dist * time))
221           0.173156544270553325    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_d_band_center_surf / time))
222           0.173170234575422993    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_BE_H_surf * time))
223           0.17324625554362022     ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_delta_M1_M2_subsurf / time))
224           0.173263382729961973    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_d_band_center_surf * time))
225           0.173281265521534444    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_mu_C_critical_subsurf * time))
226           0.173356892371037657    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_E_b_C_subsurf * time))
227           0.173428640653209121    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_E_b_C_subsurf / time))
228           0.173482225760546643    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_mu_C_critical_subsurf / time))
